City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
1111,Mahajanga,MG,-15.72,46.32,82.4,69,20,10.29,few clouds
1112,Sawai Madhopur,IN,25.98,76.37,83.52,49,79,3.09,broken clouds
1113,San Jeronimo,PE,-11.95,-75.28,59.45,43,26,1.07,light rain
1114,Tommot,RU,58.96,126.29,19.31,92,98,10.2,overcast clouds
1115,Goldsboro,US,35.38,-77.99,70.0,46,1,10.29,clear sky
1116,Pafos,CY,34.77,32.42,77.0,69,20,13.87,few clouds
1117,Illapel,CL,-31.63,-71.17,73.13,43,76,8.01,broken clouds
1118,Gladstone,AU,-23.85,151.25,68.0,56,76,8.05,broken clouds
1119,Cap Malheureux,MU,-19.98,57.61,75.99,75,0,8.99,clear sky
1120,Mugan,CN,35.94,101.38,36.55,79,0,4.36,clear sky
1121,North Bend,US,43.41,-124.22,52.0,100,1,3.36,clear sky
1122,Nizwa,OM,22.93,57.53,77.56,24,0,9.51,clear sky
1123,Friesoythe,DE,53.02,7.85,51.01,76,100,8.99,overcast clouds
1124,Kidal,ML,18.44,1.41,102.45,8,0,4.52,clear sky
1125,Copiapo,CL,-27.37,-70.33,64.4,52,20,3.36,few clouds
1126,Malindi,KE,-3.22,40.12,86.0,62,75,18.34,broken clouds
1127,Kununurra,AU,-15.77,128.73,73.4,78,54,0.31,broken clouds
1128,Pontian Kecil,MY,1.48,103.39,78.8,83,20,3.36,few clouds
1129,Khani,GE,41.96,42.96,71.6,60,57,4.7,broken clouds
1130,Zelenoborskiy,RU,66.84,32.36,36.37,83,100,10.6,overcast clouds
1131,Boa Vista,BR,2.82,-60.67,93.2,44,40,12.75,scattered clouds
1132,Matara,LK,5.95,80.54,79.48,85,92,12.44,light rain
1133,Orcopampa,PE,-15.27,-72.34,52.65,48,90,5.59,light rain
1134,Sembakung,ID,3.82,117.25,74.93,98,100,0.56,moderate rain
1135,Babushkin,RU,51.71,105.86,37.87,84,100,13.76,moderate rain
1136,Tyazhinskiy,RU,56.12,88.52,42.37,81,100,16.6,overcast clouds
1137,Masuda,JP,34.67,131.85,64.4,52,20,10.29,few clouds
1138,Talwandi Bhai,IN,30.85,74.93,78.33,19,0,6.82,clear sky
1139,Gweta,BW,-20.18,25.23,91.24,18,7,11.68,clear sky
1140,Mayumba,GA,-3.43,10.66,76.66,78,52,8.61,broken clouds
1141,Del Rio,US,29.36,-100.9,77.0,73,1,17.22,clear sky
1142,Manokwari,ID,-0.87,134.08,79.75,79,96,7.31,overcast clouds
1143,Kremze,CZ,48.91,14.31,42.01,92,100,1.99,light rain
1144,Dabat,ET,12.98,37.77,55.2,90,57,3.85,light rain
1145,Tornio,FI,65.85,24.15,42.8,70,69,11.41,broken clouds
1146,Solano,US,38.23,-121.95,73.0,77,1,2.24,clear sky
1147,Shache,CN,38.42,77.24,49.55,45,49,5.01,scattered clouds
1148,Aksu,CN,41.12,80.26,55.02,37,74,4.85,broken clouds
1149,Iglesias,IT,39.31,8.54,73.4,60,75,10.29,broken clouds
1150,Coahuayana,MX,18.73,-103.68,75.2,73,40,11.41,scattered clouds
1151,Oxkutzcab,MX,20.3,-89.42,84.02,65,70,5.06,broken clouds
1152,Yuci,CN,37.68,112.73,48.2,81,100,4.47,overcast clouds
1153,Bemidji,US,47.47,-94.88,46.0,93,75,10.29,broken clouds
1154,Ternate,ID,0.8,127.4,80.74,76,100,2.21,light rain
1155,Norden,DE,53.6,7.2,52.0,66,75,16.11,broken clouds
1156,Beyneu,KZ,45.32,55.2,59.95,34,0,13.02,clear sky
1157,Nakama,JP,33.82,130.7,64.4,59,20,6.93,few clouds
1158,Balakovo,RU,52.03,47.8,57.99,33,100,8.7,overcast clouds
1159,Thaba-Tseka,LS,-29.52,28.61,65.01,25,0,13.11,clear sky
1160,Salem,IN,11.65,78.17,73.6,78,83,3.15,broken clouds
1161,Jadu,LY,31.95,12.03,75.69,21,0,4.41,clear sky
1162,Albert,FR,50.0,2.65,52.0,81,40,12.75,scattered clouds
1163,Hue,VN,16.47,107.6,78.8,88,75,2.24,broken clouds
1164,Asfi,MA,32.3,-9.24,69.66,70,0,19.17,clear sky
1165,Bindura,ZW,-17.3,31.33,75.52,55,58,5.32,broken clouds
1166,Beryslav,UA,46.84,33.43,64.08,57,49,6.29,scattered clouds
1167,Kangaatsiaq,GL,68.31,-53.46,36.72,84,99,12.33,overcast clouds
1168,Binga,ZW,-17.62,27.34,83.57,47,5,5.21,clear sky
1169,Calvinia,ZA,-31.47,19.78,85.28,13,0,8.61,clear sky
1170,Wagrowiec,PL,52.81,17.2,48.99,83,100,4.0,overcast clouds
1171,Sitio Novo Do Tocantins,BR,-5.52,-47.46,95.02,33,24,5.77,few clouds
1172,Yeppoon,AU,-23.13,150.73,69.8,56,40,12.75,scattered clouds
1173,Sulangan,PH,11.14,123.72,81.64,76,95,6.26,heavy intensity rain
1174,Kolomak,UA,49.84,35.3,65.71,41,44,6.51,moderate rain
1175,Mtwara,TZ,-10.27,40.18,86.0,55,40,17.22,scattered clouds
1176,Barra Patuca,HN,15.8,-84.28,82.69,81,99,8.12,light rain
1177,Nizhniy Kuranakh,RU,58.84,125.49,19.94,93,100,8.72,overcast clouds
1178,Panhala,IN,16.82,74.12,68.05,99,100,11.1,light rain
1179,Itaqui,BR,-29.13,-56.55,75.02,52,100,7.23,moderate rain
1180,Maragogi,BR,-9.01,-35.22,81.36,65,11,12.28,few clouds
1181,Seguela,CI,7.96,-6.67,87.06,58,67,1.81,broken clouds
1182,Hanko,FI,59.83,22.95,46.0,77,88,20.0,overcast clouds
1183,Awbari,LY,26.59,12.78,93.54,12,2,9.46,clear sky
1184,Saint-Georges,GD,12.06,-61.75,87.8,70,40,11.41,scattered clouds
1185,Glencoe,ZA,-28.18,30.15,61.83,62,0,11.7,clear sky
1186,Anchorage,US,61.22,-149.9,39.2,79,75,1.7,broken clouds
1187,Smolenka,RU,52.14,113.5,28.4,58,0,6.71,clear sky
1188,Cap-Chat,CA,49.1,-66.68,45.52,92,100,8.08,overcast clouds
1189,Riviere-Au-Renard,CA,49.0,-64.4,46.4,93,90,13.87,mist
1190,Kantunilkin,MX,21.09,-87.45,86.0,66,75,4.7,broken clouds
1191,Jieshi,CN,22.81,115.83,78.01,78,97,24.16,light rain
1192,Botou,CN,38.07,116.57,53.65,70,80,6.73,light rain
1193,Bellavista,PE,-7.06,-76.59,82.4,69,20,3.36,few clouds
1194,Kosh-Agach,RU,50.0,88.67,24.35,87,0,2.82,clear sky
1195,Derzhavinsk,KZ,51.1,66.32,53.33,41,58,8.7,broken clouds
1196,Antofagasta,CL,-23.65,-70.4,66.99,59,40,14.99,scattered clouds
1197,Warrington,GB,53.39,-2.58,59.0,62,40,13.87,scattered clouds
1198,Snina,SK,48.99,22.15,42.01,88,100,7.0,light rain
1199,Puerto Escondido,MX,15.85,-97.07,84.2,70,40,1.9,scattered clouds
1200,Navrongo,GH,10.9,-1.09,95.58,36,0,3.04,clear sky
1201,Hubli,IN,15.35,75.17,69.58,89,79,15.37,broken clouds
1202,Ratnagiri,IN,16.98,73.3,78.42,85,100,6.24,light rain
1203,Abramovka,RU,51.19,41.02,59.29,54,0,8.48,clear sky
1204,Pidvynohradiv,UA,48.14,22.97,57.0,66,100,9.17,light rain
1205,Drovyanaya,RU,51.58,113.03,28.4,58,0,6.71,clear sky
1206,Oksfjord,NO,70.24,22.35,42.01,80,75,24.16,shower rain
1207,Katghora,IN,22.5,82.55,76.35,89,58,3.67,broken clouds
1208,Boende,CD,-0.22,20.87,77.94,89,96,2.37,light rain
1209,Helong,CN,42.54,129.0,29.12,84,0,4.76,clear sky
1210,Honiara,SB,-9.43,159.95,75.2,94,40,2.59,scattered clouds
1211,Mango,US,27.98,-82.31,86.0,66,1,6.35,clear sky
1212,Edea,CM,3.8,10.13,86.0,70,75,6.93,broken clouds
1213,Mandalgovi,MN,45.76,106.27,30.76,85,100,5.77,overcast clouds
1214,Moussoro,TD,13.64,16.49,102.51,12,1,10.33,clear sky
1215,Banjar,ID,-8.19,114.97,82.4,83,40,8.05,scattered clouds
