City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1389,Rosario,AR,75.0,overcast clouds,-32.95,-60.64,Holiday Inn Rosario
1403,Acajutla,SV,71.6,broken clouds,13.59,-89.83,Stop.
1404,Ovalle,CL,76.37,clear sky,-30.6,-71.2,Hotel Altos de Tuqui
1405,Puerto Del Rosario,ES,75.2,broken clouds,28.5,-13.86,Hotel JM Puerto del Rosario
1410,Ontario,US,71.6,smoke,34.06,-117.65,DoubleTree by Hilton Hotel Ontario Airport
1417,Aksaray,TR,78.8,clear sky,38.37,34.03,Kuzucular Park Hotel
1424,Sonoita,MX,72.0,broken clouds,31.85,-112.83,Motel San Antonio
1430,Tha Chang,TH,77.0,few clouds,9.26,99.19,สุริยาค้าไม้
1432,Luang Prabang,LA,71.69,broken clouds,19.89,102.13,Villa Oasis
1433,Basco,PH,82.31,few clouds,20.45,121.97,Nathaniel's Lodge
1435,Miri,MY,82.4,moderate rain,4.41,114.01,"Mega Hotel, Miri"
1438,Bahraich,IN,77.0,clear sky,27.58,81.6,Narain Guest House
1441,Gwadar,PK,82.56,clear sky,25.12,62.33,Sadaf Resort
1442,Orocue,CO,84.25,light rain,4.79,-71.34,Hotel Brisas de San Miguel
1444,Yendi,GH,88.83,clear sky,9.44,-0.01,Eyarro Lodge
1445,Roxana,CR,72.0,clear sky,10.28,-83.75,Barrio los pinos
1451,Richards Bay,ZA,83.17,clear sky,-28.78,32.04,BON Hotel Waterfront Richards Bay
1456,West Bay,KY,87.01,few clouds,19.37,-81.42,Calypso Cove
1460,Pangai,TO,74.39,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
1461,Maxixe,MZ,78.8,few clouds,-23.86,35.35,Oceano
1465,Alenquer,BR,86.0,few clouds,-1.94,-54.74,Josilene Castro
1469,Puri,IN,80.6,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
1471,Paralimni,CY,84.2,few clouds,35.04,33.98,Amore Hotel Apartments
1477,Manggar,ID,81.41,overcast clouds,-2.88,108.27,Guest Hotel
1478,Kuching,MY,78.8,few clouds,1.55,110.33,Hilton Kuching
1484,Santa Cruz Cabralia,BR,84.2,scattered clouds,-16.28,-39.02,Portobali Hotel
1485,Conde,BR,86.0,broken clouds,-7.26,-34.91,Pousada Beija Flor
1487,Pathein,MM,78.31,scattered clouds,16.78,94.73,Pathein Hotel
1488,Puerto Escondido,MX,73.4,scattered clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
1495,Lumphat,KH,74.97,heavy intensity rain,13.49,106.98,Lumphat Homestay
1496,Gasa,PS,82.4,few clouds,31.5,34.47,رابطة الفنانين الفلسطينيين
1498,Guarapari,BR,81.0,broken clouds,-20.67,-40.5,Hotel Porto do Sol
1503,Masallatah,LY,88.41,clear sky,32.62,14.0,Mohamed Ahmed Salem
1505,Copperas Cove,US,72.0,broken clouds,31.12,-97.9,Super 8 by Wyndham Copperas Cove
1507,Birjand,IR,71.6,clear sky,32.87,59.22,Birjand Tourist Hotel
1513,Nabire,ID,76.23,light rain,-3.37,135.48,Hotel Nusantara Nabire
1515,Kanigoro,ID,75.18,light rain,-8.13,112.22,Musafer Villa ( Villa Erlin )
1516,Sampit,ID,74.77,light rain,-2.53,112.95,Aquarius Boutique Hotel Sampit
1519,Coron,PH,77.85,light rain,12.0,120.2,Coron Westown Resort
1520,Fort Wellington,GY,86.18,light rain,6.4,-57.6,TE'AMO Entertainment Park
1523,Yenagoa,NG,83.19,moderate rain,4.92,6.26,Amba Hotels Limited
1529,Mahajanga,MG,86.0,few clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
1532,Phulpur,IN,83.95,few clouds,25.55,82.1,Ramnath Guest House
1535,Kuito,AO,73.4,scattered clouds,-12.38,16.93,Herdeiros de Antunes Capusso
1541,Buloh Kasap,MY,82.4,few clouds,2.55,102.76,Teratak Ixora Segamat
1543,Uige,AO,78.8,thunderstorm,-7.61,15.06,Juliao Pereira
1546,Katherine,AU,84.2,scattered clouds,-14.47,132.27,Pine Tree Motel
1550,Baringo,KE,89.11,broken clouds,0.47,35.97,Jericho Lodging
1552,Natal,BR,86.0,broken clouds,-5.79,-35.21,Villa Park Hotel | Natal
1555,Bhasawar,IN,87.3,clear sky,27.03,77.03,Jagdish Tiwari janral stor
1562,Rosa Zarate,EC,73.36,overcast clouds,0.33,-79.47,Piscinas y Recepciones Hecalash
1565,San Fernando,PH,78.8,broken clouds,15.03,120.69,Maharlika Hostel
1566,Santa Luzia,BR,80.6,clear sky,-19.77,-43.85,Pousada Chao Earth
1568,Mawlaik,MM,79.36,clear sky,23.63,94.42,AKZ Guest House
1572,Batouri,CM,82.58,scattered clouds,4.43,14.37,Hotel Hollywood
1573,Parrita,CR,71.01,broken clouds,9.52,-84.32,Beso del Viento
1575,Khandbari,NP,70.66,clear sky,27.37,87.2,नेवारी फाष्टफुड एण्ड लज
1576,Tema,GH,84.2,scattered clouds,5.67,-0.02,Beulah Royale
1578,Mahbubabad,IN,77.97,overcast clouds,17.62,80.02,Vedansh Residency
1579,Nicoya,CR,75.2,few clouds,10.15,-85.45,Guayacan Real
1581,Bogo,PH,79.84,moderate rain,11.05,124.01,Acrige Apartelle 2 pax Twin @ heart of Bogo City
1583,Remedios,CU,78.8,few clouds,22.49,-79.55,Hostal Yunai
1589,Minervino Murge,IT,72.0,scattered clouds,41.08,16.08,B&B Le Mura
1594,Goma,CD,76.1,light rain,-1.68,29.22,"Goma, CENTRE D'ACCUEIL CARITAS"
1598,Kropotkin,RU,75.56,scattered clouds,45.44,40.58,Hotel Europe Kropotkin
1600,Oistins,BB,86.0,broken clouds,13.07,-59.53,Butterfly Beach Hotel
1605,Qiongshan,CN,80.6,scattered clouds,20.01,110.35,Sun City Restaurant
1609,Mut,TR,82.72,clear sky,36.64,33.44,Konak Otel
1610,Kampot,KH,78.8,moderate rain,10.62,104.18,Champa Lodge
1613,Tutoia,BR,87.71,clear sky,-2.76,-42.27,Pousada Guará's
1614,Lazaro Cardenas,MX,78.76,clear sky,17.96,-102.2,Collection O Hotel Quinta Antigua
1615,Nautla,MX,77.45,clear sky,20.22,-96.78,Casa Blanca
1616,Tabou,CI,79.74,light rain,4.42,-7.35,hotêl doufoulougou
1619,Bartica,GY,86.0,broken clouds,6.4,-58.62,La Vista Hotel and Apartment
1624,Daman,IN,83.97,broken clouds,20.42,72.85,Silver Sands Beach Resort
1626,Hoi An,VN,78.8,scattered clouds,15.88,108.33,Belle Maison Hadana Hoi An managed by H&K Hospitality
1628,Galesong,ID,80.6,few clouds,-5.32,119.37,Sapriadi Appy
1631,Yangjiang,CN,75.22,light rain,21.85,111.97,HUALUXE Yangjiang City Center
1635,Lavumisa,SZ,86.99,clear sky,-27.31,31.89,ROADSIDE B&B
1636,Puerto Maldonado,PE,78.8,overcast clouds,-12.6,-69.18,Wasai Hotel
1641,Canico,PT,73.4,scattered clouds,32.63,-16.85,Quinta Splendida Wellness & Botanical Garden
1643,Policoro,IT,71.6,broken clouds,40.21,16.67,Hotel Hermes
1644,San Jose De Guanipa,VE,83.64,clear sky,8.89,-64.17,HOTEL 283 SUITES
1645,Kulu,TR,74.62,clear sky,39.1,33.08,Kapadokya Motel
1650,Kinablangan,PH,79.16,light rain,7.69,126.55,Mainit Balete Hot Spring
1657,Ovejas,CO,80.71,scattered clouds,9.53,-75.22,Hotel San Francisco
1663,Wanning,CN,78.89,moderate rain,18.8,110.4,Paradise Hotel
1665,Mahibadhoo,MV,83.01,light rain,3.78,72.97,Omadhoo Inn
1668,Tondano,ID,75.2,scattered clouds,1.3,124.91,Villa Bella
1671,Ikwiriri,TZ,82.71,clear sky,-7.96,38.97,Selous Lodge
1672,Kabale,UG,71.65,light rain,-1.25,29.99,Kwanzi
1673,Kuliyapitiya,LK,80.6,few clouds,7.47,80.04,Rest House
1677,Hasilpur,PK,82.71,clear sky,29.71,72.56,Dr Riaz's House 89 Fateh
1681,Matveyev Kurgan,RU,72.37,clear sky,47.56,38.87,Korona
1682,Oranjestad,AW,87.8,scattered clouds,12.52,-70.03,Divi Village Golf & Beach Resort
1684,Lukang,TW,79.0,few clouds,24.06,120.44,二鹿行館 Lu Kang Bed and Breakbast
1687,Manzanillo,CU,81.48,clear sky,20.34,-77.12,Adrian & Tonia
1688,San Pedro,PH,80.6,heavy intensity rain,14.35,121.02,OYO 412 Viewfort Venue
1691,Mouzouras,GR,75.2,scattered clouds,35.53,24.15,Areti Suites
1696,Parana,AR,80.01,broken clouds,-31.73,-60.52,Howard Johnson Plaza Hotel Mayorazgo
1699,Tabas,IR,78.8,clear sky,33.6,56.92,شرکت معماری مهراز شایگان آراد
1703,Tame,CO,83.64,clear sky,6.46,-71.73,Hospedaje Santa Ana
1704,Fomboni,KM,79.07,light rain,-12.28,43.74,Auberge les abou
1709,Fez,MA,73.4,few clouds,34.04,-5.0,Hotel Mounia Fès
1710,Ormond Beach,US,82.99,few clouds,29.29,-81.06,Royal Floridian Resort By Spinnaker Resorts
1712,San Luis,AR,74.17,clear sky,-33.3,-66.34,Huarpes Hotel
1717,Tocache,PE,72.72,light rain,-8.18,-76.51,Marylin Trevejos Rojas
1718,Guane,CU,81.75,overcast clouds,22.2,-84.09,base de Campismo LosPortales de Guane
1721,Rosarito,MX,71.01,clear sky,32.33,-117.03,Hotel Festival Plaza Rosarito
1722,Bijawar,IN,81.73,few clouds,24.63,79.5,Indian Dhaba
1723,Zhanjiang,CN,77.7,light rain,21.28,110.34,创业旅店
1726,Kattivakkam,IN,87.8,broken clouds,13.22,80.32,St. Joseph Thirumana mandapam
1730,Cantagalo,BR,79.27,moderate rain,-21.98,-42.37,Pousada Recanto do Sabiá
1732,Bushehr,IR,89.6,clear sky,28.97,50.84,Yas Hotel
